name	YB1_aer_MinION_count	YB1_aer_0508_count	YB1_ana_v2_count	YB1_ana_0507_count	YB1_ana_0508_count	YB1_aer_clone_0516_count	YB1_ana_clone_0516_count	SL7207_aer_0507_count	SL7207_aer_0509_count	SL7207_ana_0509_count	dAsd_aer_0511_count	dAsd_ana_0512_count	dAsd_aer_0514_count	dAsd_ana_0514_count	PW_aer_0515_count	PW_ana_0515_count	YB1_aer_MinION_cpm	YB1_aer_0508_cpm	YB1_ana_v2_cpm	YB1_ana_0507_cpm	YB1_ana_0508_cpm	YB1_aer_clone_0516_cpm	YB1_ana_clone_0516_cpm	SL7207_aer_0507_cpm	SL7207_aer_0509_cpm	SL7207_ana_0509_cpm	dAsd_aer_0511_cpm	dAsd_ana_0512_cpm	dAsd_aer_0514_cpm	dAsd_ana_0514_cpm	PW_aer_0515_cpm	PW_ana_0515_cpm
SL1344_RS00215	0	3	1	1	0	1	0	1	1	1	0	1	0	2	0	1	0.00	3.50	7.21	1.20	0.00	1.17	0.00	1.38	1.69	0.77	0.00	1.08	0.00	2.12	0.00	1.10
rpsT	124	575	37	343	207	213	281	267	173	524	290	506	131	426	187	214	435.42	671.79	266.89	412.03	416.58	248.39	339.01	369.58	291.88	405.96	326.06	547.11	434.77	451.65	196.35	234.70
SL1344_RS00225	60	289	13	205	124	83	158	156	124	354	160	293	93	266	77	97	210.69	337.65	93.77	246.25	249.55	96.79	190.62	215.94	209.21	274.25	179.90	316.80	308.66	282.02	80.85	106.38
ribF	0	14	4	24	13	27	20	20	17	31	21	19	7	27	13	24	0.00	16.36	28.85	28.83	26.16	31.49	24.13	27.68	28.68	24.02	23.61	20.54	23.23	28.63	13.65	26.32
ileS	15	38	7	49	31	48	46	42	48	109	45	46	29	69	32	58	52.67	44.40	50.49	58.86	62.39	55.98	55.50	58.14	80.98	84.45	50.60	49.74	96.25	73.15	33.60	63.61
lspA	8	22	2	32	16	17	26	26	28	74	30	22	21	49	27	36	28.09	25.70	14.43	38.44	32.20	19.82	31.37	35.99	47.24	57.33	33.73	23.79	69.70	51.95	28.35	39.48
fkpB	7	21	1	19	10	18	19	12	25	56	11	12	9	19	12	13	24.58	24.53	7.21	22.82	20.12	20.99	22.92	16.61	42.18	43.38	12.37	12.97	29.87	20.14	12.60	14.26
ispH	8	37	1	22	13	22	15	20	40	76	15	14	8	20	20	13	28.09	43.23	7.21	26.43	26.16	25.66	18.10	27.68	67.49	58.88	16.87	15.14	26.55	21.20	21.00	14.26
SL1344_RS00255	3	9	0	5	4	12	4	5	15	13	9	6	6	10	6	17	10.53	10.51	0.00	6.01	8.05	13.99	4.83	6.92	25.31	10.07	10.12	6.49	19.91	10.60	6.30	18.64
rihC	2	1	0	1	3	4	3	4	4	10	5	5	1	9	3	10	7.02	1.17	0.00	1.20	6.04	4.66	3.62	5.54	6.75	7.75	5.62	5.41	3.32	9.54	3.15	10.97
