run_accession,corpus
ERR582674,NCBI_Salmonella_Stage2
ERR582675,NCBI_Salmonella_Stage2
ERR582676,NCBI_Salmonella_Stage2
ERR582677,NCBI_Salmonella_Stage2
ERR582678,NCBI_Salmonella_Stage2
ERR582679,NCBI_Salmonella_Stage2
ERR582680,NCBI_Salmonella_Stage2
ERR582681,NCBI_Salmonella_Stage2
ERR582682,NCBI_Salmonella_Stage2
ERR582683,NCBI_Salmonella_Stage2
ERR582684,NCBI_Salmonella_Stage2
ERR582685,NCBI_Salmonella_Stage2
ERR582686,NCBI_Salmonella_Stage2
ERR582687,NCBI_Salmonella_Stage2
ERR6043918,NCBI_Salmonella_Stage2
ERR6043919,NCBI_Salmonella_Stage2
ERR6043920,NCBI_Salmonella_Stage2
ERR6043921,NCBI_Salmonella_Stage2
ERR6043922,NCBI_Salmonella_Stage2
ERR6043923,NCBI_Salmonella_Stage2
ERR6043924,NCBI_Salmonella_Stage2
ERR6043925,NCBI_Salmonella_Stage2
ERR6043926,NCBI_Salmonella_Stage2
ERR6043927,NCBI_Salmonella_Stage2
ERR6043928,NCBI_Salmonella_Stage2
ERR6043929,NCBI_Salmonella_Stage2
ERR6043930,NCBI_Salmonella_Stage2
ERR6043931,NCBI_Salmonella_Stage2
ERR6043932,NCBI_Salmonella_Stage2
ERR6043933,NCBI_Salmonella_Stage2
ERR6043934,NCBI_Salmonella_Stage2
ERR6043935,NCBI_Salmonella_Stage2
ERR6043936,NCBI_Salmonella_Stage2
ERR6043937,NCBI_Salmonella_Stage2
ERR6043938,NCBI_Salmonella_Stage2
ERR6043939,NCBI_Salmonella_Stage2
ERR6043940,NCBI_Salmonella_Stage2
ERR6043941,NCBI_Salmonella_Stage2
ERR6043942,NCBI_Salmonella_Stage2
ERR6043943,NCBI_Salmonella_Stage2
ERR6043944,NCBI_Salmonella_Stage2
ERR6043945,NCBI_Salmonella_Stage2
ERR6043946,NCBI_Salmonella_Stage2
ERR6043947,NCBI_Salmonella_Stage2
ERR6043948,NCBI_Salmonella_Stage2
ERR6043949,NCBI_Salmonella_Stage2
ERR6043950,NCBI_Salmonella_Stage2
ERR6043951,NCBI_Salmonella_Stage2
ERR6043952,NCBI_Salmonella_Stage2
ERR6043953,NCBI_Salmonella_Stage2
ERR6043954,NCBI_Salmonella_Stage2
ERR6043955,NCBI_Salmonella_Stage2
ERR6043956,NCBI_Salmonella_Stage2
ERR6043957,NCBI_Salmonella_Stage2
ERR6043958,NCBI_Salmonella_Stage2
ERR6043959,NCBI_Salmonella_Stage2
ERR6043960,NCBI_Salmonella_Stage2
ERR6043961,NCBI_Salmonella_Stage2
ERR6043962,NCBI_Salmonella_Stage2
ERR6043963,NCBI_Salmonella_Stage2
ERR6043964,NCBI_Salmonella_Stage2
ERR6044013,NCBI_Salmonella_Stage2
ERR6044014,NCBI_Salmonella_Stage2
ERR6044015,NCBI_Salmonella_Stage2
ERR6412215,NCBI_Salmonella_Stage2
ERR6503523,NCBI_Salmonella_Stage2
ERR6503524,NCBI_Salmonella_Stage2
ERR6503525,NCBI_Salmonella_Stage2
ERR6503526,NCBI_Salmonella_Stage2
ERR6503527,NCBI_Salmonella_Stage2
ERR6503528,NCBI_Salmonella_Stage2
ERR708908,NCBI_Salmonella_Stage2
ERR708909,NCBI_Salmonella_Stage2
ERR708910,NCBI_Salmonella_Stage2
ERR708911,NCBI_Salmonella_Stage2
ERR708912,NCBI_Salmonella_Stage2
ERR708913,NCBI_Salmonella_Stage2
ERR708914,NCBI_Salmonella_Stage2
ERR708915,NCBI_Salmonella_Stage2
ERR708916,NCBI_Salmonella_Stage2
ERR708917,NCBI_Salmonella_Stage2
ERR708918,NCBI_Salmonella_Stage2
ERR708919,NCBI_Salmonella_Stage2
ERR708920,NCBI_Salmonella_Stage2
ERR708921,NCBI_Salmonella_Stage2
ERR708922,NCBI_Salmonella_Stage2
ERR708923,NCBI_Salmonella_Stage2
ERR708924,NCBI_Salmonella_Stage2
ERR708925,NCBI_Salmonella_Stage2
ERR731308,NCBI_Salmonella_Stage2
ERR731309,NCBI_Salmonella_Stage2
ERR731310,NCBI_Salmonella_Stage2
ERR731311,NCBI_Salmonella_Stage2
ERR731312,NCBI_Salmonella_Stage2
ERR731313,NCBI_Salmonella_Stage2
ERR731314,NCBI_Salmonella_Stage2
ERR731315,NCBI_Salmonella_Stage2
ERR731316,NCBI_Salmonella_Stage2
ERR731317,NCBI_Salmonella_Stage2
ERR731318,NCBI_Salmonella_Stage2
ERR731319,NCBI_Salmonella_Stage2
ERR731320,NCBI_Salmonella_Stage2
ERR731321,NCBI_Salmonella_Stage2
ERR731322,NCBI_Salmonella_Stage2
ERR731323,NCBI_Salmonella_Stage2
ERR731324,NCBI_Salmonella_Stage2
ERR731325,NCBI_Salmonella_Stage2
ERR731326,NCBI_Salmonella_Stage2
ERR731327,NCBI_Salmonella_Stage2
ERR731328,NCBI_Salmonella_Stage2
ERR731329,NCBI_Salmonella_Stage2
ERR731330,NCBI_Salmonella_Stage2
ERR731331,NCBI_Salmonella_Stage2
ERR731332,NCBI_Salmonella_Stage2
ERR731333,NCBI_Salmonella_Stage2
ERR731334,NCBI_Salmonella_Stage2
ERR731335,NCBI_Salmonella_Stage2
ERR731336,NCBI_Salmonella_Stage2
ERR731337,NCBI_Salmonella_Stage2
ERR731338,NCBI_Salmonella_Stage2
ERR731339,NCBI_Salmonella_Stage2
ERR731340,NCBI_Salmonella_Stage2
ERR731341,NCBI_Salmonella_Stage2
ERR731342,NCBI_Salmonella_Stage2
ERR731343,NCBI_Salmonella_Stage2
ERR738210,NCBI_Salmonella_Stage2
ERR966622,NCBI_Salmonella_Stage2
ERR966624,NCBI_Salmonella_Stage2
ERR9671710,NCBI_Salmonella_Stage2
ERR9671714,NCBI_Salmonella_Stage2
ERR968680,NCBI_Salmonella_Stage2
ERR968681,NCBI_Salmonella_Stage2
ERR968683,NCBI_Salmonella_Stage2
ERR968684,NCBI_Salmonella_Stage2
ERR968685,NCBI_Salmonella_Stage2
ERR968686,NCBI_Salmonella_Stage2
ERR968688,NCBI_Salmonella_Stage2
ERR968689,NCBI_Salmonella_Stage2
ERR968690,NCBI_Salmonella_Stage2
ERR968691,NCBI_Salmonella_Stage2
ERR968694,NCBI_Salmonella_Stage2
ERR968695,NCBI_Salmonella_Stage2
ERR968696,NCBI_Salmonella_Stage2
ERR968697,NCBI_Salmonella_Stage2
ERR968698,NCBI_Salmonella_Stage2
ERR968699,NCBI_Salmonella_Stage2
ERR968700,NCBI_Salmonella_Stage2
ERR968701,NCBI_Salmonella_Stage2
ERR968704,NCBI_Salmonella_Stage2
ERR968705,NCBI_Salmonella_Stage2
ERR968706,NCBI_Salmonella_Stage2
ERR968707,NCBI_Salmonella_Stage2
ERR968709,NCBI_Salmonella_Stage2
ERR968710,NCBI_Salmonella_Stage2
ERR968711,NCBI_Salmonella_Stage2
SRR066805,NCBI_Salmonella_Stage2
SRR066806,NCBI_Salmonella_Stage2
SRR10005548,NCBI_Salmonella_Stage2
SRR10005549,NCBI_Salmonella_Stage2
SRR10005550,NCBI_Salmonella_Stage2
SRR10005552,NCBI_Salmonella_Stage2
SRR10005553,NCBI_Salmonella_Stage2
SRR10009122,NCBI_Salmonella_Stage2
SRR10009127,NCBI_Salmonella_Stage2
SRR10009925,NCBI_Salmonella_Stage2
SRR10009926,NCBI_Salmonella_Stage2
SRR10024240,NCBI_Salmonella_Stage2
