gene,YB1_vs_WT_aer,dAsd_vs_WT_aer,residual_aer(YB1-dAsd),YB1_vs_WT_ana,dAsd_vs_WT_ana,residual_ana
SL1344_RS02570,1.3566,0.8804,0.4762,-0.8905,-0.8959,0.0054
SL1344_RS02590,-1.2168,-1.6931,0.4763,-1.879,-1.7177,-0.1613
SL1344_RS02595,-0.1173,0.9914,-1.1087,0.247,-0.5333,0.7803
SL1344_RS02605,1.5128,-1.079,2.5918,0.4049,-0.0858,0.4907
SL1344_RS02645,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS02650,0.6197,0.1434,0.4763,-1.6275,-2.1183,0.4908
SL1344_RS02660,1.3566,0.8804,0.4762,-3.7429,-4.2337,0.4908
SL1344_RS02685,-0.9653,0.1434,-1.1087,-0.0425,1.0517,-1.0942
SL1344_RS02690,0.6197,0.1434,0.4763,-0.0425,1.7886,-1.8311
SL1344_RS02695,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS02700,-0.9653,0.1434,-1.1087,-1.6275,-2.1183,0.4908
SL1344_RS02730,0.9092,-1.4416,2.3508,0.3201,0.5662,-0.2461
SL1344_RS02735,0.6197,0.1434,0.4763,-0.0425,-2.1183,2.0758
SL1344_RS02740,-1.7022,-2.1785,0.4763,-0.0425,-1.0187,0.9762
SL1344_RS02770,1.8998,-1.079,2.9788,1.832,1.5822,0.2498
SL1344_RS02795,1.3566,-1.4416,2.7982,-0.0425,-0.5333,0.4908
SL1344_RS02805,-2.8398,-0.9941,-1.8457,3.1274,4.2216,-1.0942
SL1344_RS02820,-0.9653,-1.4416,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS02825,-4.0242,-2.9155,-1.1087,-0.0425,-0.0479,0.0054
SL1344_RS02865,0.8712,-1.4416,2.3128,-0.5802,-1.6328,1.0526
SL1344_RS02875,-0.9653,-2.1785,1.2132,-2.8499,0.1188,-2.9687
SL1344_RS02880,-0.2283,-0.2192,-0.0091,-0.0425,-0.1707,0.1282
SL1344_RS02885,0.6197,-1.4416,2.0613,0.8055,-0.0479,0.8534
SL1344_RS02890,-1.7022,-0.5936,-1.1086,2.2794,1.0517,1.2277
SL1344_RS02895,2.2046,2.4653,-0.2607,1.5425,1.0517,0.4908
SL1344_RS02900,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
SL1344_RS02905,-0.9653,0.8804,-1.8457,-0.0425,-0.5333,0.4908
SL1344_RS02910,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS02915,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS02925,-0.1173,-0.5936,0.4763,-1.6275,1.0517,-2.6792
SL1344_RS02930,-1.7022,-0.5936,-1.1086,-0.0425,1.2322,-1.2747
SL1344_RS02935,-0.9653,0.1434,-1.1087,0.4429,0.6042,-0.1613
SL1344_RS02940,1.2364,-0.3041,1.5405,-0.2835,-0.3269,0.0434
SL1344_RS02945,3.7896,1.7284,2.0612,-0.7795,0.6042,-1.3837
SL1344_RS02955,0.9092,0.1434,0.7658,-0.5279,0.5662,-1.0941
SL1344_RS02965,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS03015,0.6197,0.1434,0.4763,1.5425,1.0517,0.4908
SL1344_RS03035,-0.9653,0.1434,-1.1087,-0.0425,0.3147,-0.3572
SL1344_RS03040,1.2477,1.2075,0.0402,0.3445,0.9757,-0.6312
SL1344_RS03045,0.3302,1.2075,-0.8773,0.875,2.3191,-1.4441
SL1344_RS03050,0.6197,1.5219,-0.9022,-0.0425,1.5371,-1.5796
SL1344_RS03055,-0.6604,1.0101,-1.6705,-0.1535,0.9406,-1.0941
SL1344_RS03080,-0.9653,0.1434,-1.1087,1.5425,-0.5333,2.0758
SL1344_RS03085,2.9416,2.4653,0.4763,-0.7795,0.6042,-1.3837
SL1344_RS03090,0.6197,0.1434,0.4763,-1.6275,-0.5333,-1.0942
SL1344_RS03095,3.427,2.4653,0.9617,-0.0425,2.6366,-2.6791
SL1344_RS03105,0.6197,3.6028,-2.9831,2.2794,1.7886,0.4908
SL1344_RS03185,-2.5502,-1.4416,-1.1086,-0.8905,-1.3813,0.4908
