gene,YB1_vs_WT_aer,dAsd_vs_WT_aer,residual_aer(YB1-dAsd),YB1_vs_WT_ana,dAsd_vs_WT_ana,residual_ana
aes,-2.1877,0.1434,-2.3311,-0.8905,-0.0028,-0.8877
afaD,-0.1173,0.1434,-0.2607,-0.5279,-1.0187,0.4908
agp,-0.2283,-1.4416,1.2133,-0.0425,-0.0479,0.0054
ahpC,-0.2121,-1.052,0.8399,-0.3634,0.2601,-0.6235
ahpF,-0.1948,0.7378,-0.9326,-0.8905,-0.5627,-0.3278
ahr,-0.2283,-1.4416,1.2133,3.1274,3.3736,-0.2462
alaA,-0.0618,-0.3833,0.3215,-0.226,0.3893,-0.6153
alaC,-1.8251,-0.342,-1.4831,-0.839,0.3049,-1.1439
alaE,-0.2283,1.9884,-2.2167,1.0416,1.8341,-0.7925
alaS,-0.0274,0.8873,-0.9147,-0.1456,0.3901,-0.5357
aldB,0.9092,0.1434,0.7658,0.1639,-0.3269,0.4908
alkA,-0.1173,0.1434,-0.2607,0.6096,-1.0187,1.6283
alkB,-1.7022,0.1434,-1.8456,-1.6275,-0.5333,-1.0942
allA,-0.9653,1.3658,-2.3311,1.5425,1.0517,0.4908
allB,0.6197,1.7284,-1.1087,-0.0425,1.0517,-1.0942
allC,0.6197,-1.4416,2.0613,-1.6275,-0.5333,-1.0942
allD,-0.6027,-1.079,0.4763,-2.3644,-0.5333,-1.8311
allE,0.9822,0.1434,0.8388,0.4429,-0.5333,0.9762
allR,-0.5178,0.9319,-1.4497,0.1985,1.2927,-1.0942
allS,1.3566,0.1434,1.2132,2.2794,1.7886,0.4908
alr,-0.1656,-0.2192,0.0536,0.0345,0.097,-0.0625
amiA,0.1836,-1.5728,1.7564,-1.08,-1.4264,0.3464
amiB,0.1651,-0.5425,0.7076,-0.6659,-0.4355,-0.2304
amiC,-0.4799,0.7601,-1.24,-0.332,1.1365,-1.4685
ampD,-0.4715,-0.6133,0.1418,1.0216,0.5308,0.4908
ampE,-0.2734,-1.6826,1.4092,-0.1002,-0.7795,0.6793
ampG,0.0578,-0.0559,0.1137,-0.4384,0.1082,-0.5466
ampH,-1.3397,-0.231,-1.1087,-0.3181,0.435,-0.7531
amtB,1.2201,-0.9039,2.124,-1.31,-0.8278,-0.4822
amyA,-0.5647,-1.6931,1.1284,0.505,-0.7743,1.2793
anmK,-0.6027,0.7955,-1.3982,1.057,0.9073,0.1497
ansA,-0.2734,-0.3871,0.1137,-0.0425,1.2322,-1.2747
ansB,-0.1173,-0.9561,0.8388,1.057,0.1188,0.9382
ansP,-0.2979,-0.7741,0.4762,-0.0425,0.5211,-0.5636
apaG,-0.9653,-1.4416,0.4763,0.2037,-0.7501,0.9538
apaH,-0.3512,-1.5644,1.2132,-0.3697,-1.2843,0.9146
apbC,1.0293,0.4524,0.5769,0.5873,0.5042,0.0831
apbE,0.6197,-1.079,1.6987,0.4429,-0.0479,0.4908
aph(3'')-Ib,0.3042,-1.5342,1.8384,0.1186,-0.1771,0.2957
aphA,0.8712,-0.5485,1.4197,1.1419,1.3648,-0.2229
appB,1.7293,-4.1045,5.8338,-0.3697,-3.8345,3.4648
appC,0.7159,-4.7146,5.4305,-0.2835,-5.8187,5.5352
apt,-1.582,0.1434,-1.7254,-0.0425,1.0517,-1.0942
araA,1.8421,1.3658,0.4763,-2.8499,-1.0187,-1.8312
araB,1.8421,1.3658,0.4763,1.1799,1.5822,-0.4023
araC,-0.9653,0.4329,-1.3982,-1.2649,0.5662,-1.8311
araD,-1.7022,-2.1785,0.4763,-0.7795,-1.2703,0.4908
araE,0.6197,-0.342,0.9617,-2.3644,0.6042,-2.9686
araJ,-0.0324,-0.5087,0.4763,-0.2835,-0.7743,0.4908
arcA,-1.2548,0.324,-1.5788,0.5665,1.3252,-0.7587
arcB,-0.5647,-0.5936,0.0289,-0.2231,-0.0972,-0.1259
arcC,2.2046,2.4653,-0.2607,0.6945,0.6891,0.0054
arfB,-2.5502,0.4329,-2.9831,-0.0425,0.9615,-1.004
argA,-0.1173,0.9914,-1.1087,-1.879,-1.2703,-0.6087
argB,-0.9653,-0.7046,-0.2607,-1.6275,-0.5333,-1.0942
argC,-0.4799,-0.9561,0.4762,0.1985,-1.6708,1.8693
argD,2.2046,1.4235,0.7811,-1.6275,0.3147,-1.9422
argE,-0.6896,-2.8821,2.1925,-1.6275,-1.5082,-0.1193
argF,-1.7022,0.9914,-2.6936,1.5425,1.0517,0.4908
argG,-0.1407,-2.3247,2.184,-1.3921,-1.7078,0.3157
argH,-0.1688,-0.9346,0.7658,0.746,0.6511,0.0949
argL,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
argO,1.3566,1.3658,-0.0092,-1.2649,-1.0187,-0.2462
argP,-1.4958,0.6909,-2.1867,-0.5279,-0.2818,-0.2461
argR,0.4132,0.7601,-0.3469,-0.4295,1.1606,-1.5901
argS,1.3566,1.5324,-0.1758,1.0852,1.4533,-0.3681
argT,0.2327,-1.6221,1.8548,0.1381,-0.5333,0.6714
arnA,-0.1508,-1.2551,1.1043,0.209,-1.0187,1.2277
arnB,-0.9653,-1.2005,0.2352,-0.0425,0.6511,-0.6936
arnC,0.6197,1.3658,-0.7461,-0.0425,1.5371,-1.5796
arnD,0.9092,-1.4416,2.3508,-1.18,-0.0858,-1.0942
arnE,-1.1459,-1.6221,0.4762,-1.18,-1.1854,0.0054
arnF,-0.4445,-0.2927,-0.1518,1.0355,1.5062,-0.4707
arnT,-4.1352,-3.0265,-1.1087,-1.4831,-0.8743,-0.6088
aroA,-1.7022,0.6288,-2.331,-0.0425,-0.5333,0.4908
aroB,0.0236,-0.2065,0.2301,-0.6982,-0.871,0.1728
aroC,0.6197,-0.7741,1.3938,0.247,1.723,-1.476
aroD,-0.6604,-0.7741,0.1137,1.336,0.8452,0.4908
aroE,-0.0477,-0.3636,0.3159,-0.8043,-1.7312,0.9269
aroF,-1.2924,-3.8496,2.5572,-1.5111,-1.7557,0.2446
aroG,0.8889,-0.3871,1.276,0.0477,0.5786,-0.5309
aroH,0.8261,-0.7497,1.5758,-0.9356,-0.5333,-0.4023
aroK,-0.0,0.1885,-0.1885,-0.3697,0.4771,-0.8468
aroL,-1.3959,-2.0034,0.6075,-1.4624,-1.3298,-0.1326
aroP,-0.4348,-2.2896,1.8548,-0.6705,-0.2285,-0.442
arsC,0.1343,0.506,-0.3717,0.6945,2.1297,-1.4352
artI,0.7801,0.8108,-0.0307,-0.203,0.645,-0.848
artJ,-1.1303,-1.6066,0.4763,-0.4051,-1.3813,0.9762
artM,0.2786,-0.0171,0.2957,-0.839,-0.4484,-0.3906
artP,0.4914,-1.7107,2.2021,-1.0134,-0.3151,-0.6983
artQ,-0.0722,-0.5485,0.4763,0.2331,-0.6938,0.9269
asd,0.6197,-0.3041,0.9238,-0.4244,-1.5673,1.1429
asmA,0.5395,0.4258,0.1137,0.476,0.3658,0.1102
asnA,-0.7588,-0.0976,-0.6612,-0.0425,0.1586,-0.2011
asnB,-0.9653,-1.2351,0.2698,-0.1387,-0.4431,0.3044
asnC,1.3566,1.3658,-0.0092,-1.917,-1.6708,-0.2462
asnS,-0.2339,-0.3533,0.1194,0.3247,0.4771,-0.1524
aspA,0.151,-0.7648,0.9158,0.384,-0.7726,1.1566
aspC,-0.2734,-0.151,-0.1224,-0.3925,0.3632,-0.7557
aspS,0.7758,1.1226,-0.3468,1.0694,1.1124,-0.043
asr,0.2191,0.3085,-0.0894,0.5632,-1.0271,1.5903
asrA,0.6197,2.9508,-2.3311,1.5425,1.7886,-0.2461
asrB,-0.9653,2.2589,-3.2242,-0.0425,1.7886,-1.8311
asrC,-0.9653,2.8064,-3.7717,0.8055,-0.0479,0.8534
astA,-0.9653,0.1434,-1.1087,-2.3644,-0.0479,-2.3165
astB,0.6197,2.4653,-1.8456,-0.0425,-0.5333,0.4908
astD,-0.9653,0.1434,-1.1087,-0.0425,-0.5333,0.4908
astE,-2.1877,-2.6639,0.4762,1.1799,1.0517,0.1282
atpA,0.4661,0.9979,-0.5318,-0.0599,0.1219,-0.1818
atpB,-0.4276,-0.4185,-0.0091,-0.8697,-0.0858,-0.7839
atpD,-0.491,0.4081,-0.8991,-0.1687,0.1885,-0.3572
atpE,0.0722,1.1809,-1.1087,-0.2738,-0.1589,-0.1149
atpF,-0.834,-0.0525,-0.7815,-0.0425,0.3072,-0.3497
atpG,0.5681,0.3766,0.1915,-0.4491,-0.3438,-0.1053
atpH,-1.1459,0.1989,-1.3448,-0.1906,0.0864,-0.277
atpI,-0.4089,0.4017,-0.8106,-0.1185,1.3002,-1.4187
avrA,0.6197,-2.0582,2.6779,-0.3181,-2.7349,2.4168
avtA,0.6197,0.5304,0.0893,0.2331,0.2632,-0.0301
azoR,-0.6604,-1.6221,0.9617,-0.0425,-0.0028,-0.0397
bacA,0.6197,0.4483,0.1714,0.209,-0.8382,1.0472
baeR,-0.6027,-0.5485,-0.0542,-1.4831,-0.8743,-0.6088
baeS,-0.734,0.4778,-1.2118,-0.4295,0.8055,-1.235
bamA,-0.2803,-0.2796,-0.0007,-0.2445,-1.0101,0.7656
bamB,-0.2239,-0.4806,0.2567,-0.0213,-0.3527,0.3314
bamC,0.4897,-0.3367,0.8264,0.5401,0.5388,0.0013
bamD,-0.834,-1.3965,0.5625,-0.3665,-0.4857,0.1192
bamE,1.6536,1.1086,0.545,-0.3557,-0.5333,0.1776
bapA,-0.094,-0.1698,0.0758,0.3201,0.5006,-0.1805
barA,0.4204,0.8039,-0.3835,-0.2708,0.2177,-0.4885
bcfB,-0.1173,-2.1785,2.0612,-0.0425,2.6366,-2.6791
bcfC,-1.2548,-1.7311,0.4763,-0.2835,0.1586,-0.4421
bcfG,0.6197,-2.6639,3.2836,-0.0425,-0.5333,0.4908
bcp,-0.3512,-0.1138,-0.2374,-0.9936,0.2811,-1.2747
bcsA,0.74,0.2637,0.4763,0.9086,0.4178,0.4908
bcsB,2.0936,0.4329,1.6607,-0.8905,-1.3813,0.4908
bcsC,0.017,-0.3562,0.3732,-0.1081,-0.5333,0.4252
bcsE,-0.0084,-0.2436,0.2352,0.6945,0.9406,-0.2461
bcsF,0.6197,1.7284,-1.1087,-0.0425,1.0517,-1.0942
bcsG,1.0558,1.0101,0.0457,0.3881,-0.1027,0.4908
bcsQ,-0.9653,-1.4416,0.4763,-1.917,-1.6708,-0.2462
bcsR,1.3566,0.1434,1.2132,-0.0425,1.0517,-1.0942
bcsZ,-0.9653,-1.4416,0.4763,2.1591,1.3927,0.7664
bdcA,-0.9653,0.8804,-1.8457,-2.3644,-0.0479,-2.3165
bdm,0.6197,2.0179,-1.3982,2.1591,-0.0479,2.207
bepA,-0.1173,-1.261,1.1437,0.2288,0.4416,-0.2128
bfd,0.9822,-2.6639,3.6461,-0.7795,0.3147,-1.0942
bfr,-0.8209,0.1434,-0.9643,1.0355,0.6891,0.3464
bglA,0.0988,-1.2005,1.2993,-0.5082,-0.3469,-0.1613
bglJ,-0.9653,0.1434,-1.1087,-0.0425,1.0517,-1.0942
bglX,-0.2734,0.5304,-0.8038,1.095,-0.1923,1.2873
bhsA,-0.5209,-3.4608,2.9399,-0.8849,-3.9759,3.091
bigA,-0.0477,-0.2192,0.1715,0.0606,0.2664,-0.2058
bioA,-0.5178,-1.7311,1.2133,0.6096,0.3598,0.2498
bioB,-0.9653,-0.5936,-0.3717,-0.573,0.1586,-0.7316
bioC,-0.6027,-2.6639,2.0612,-1.6275,-2.1183,0.4908
bioD,-0.6758,-0.2192,-0.4566,0.0984,0.4851,-0.3867
bioF,-0.1173,0.1434,-0.2607,-1.6275,-0.5333,-1.0942
bioH,0.9607,-0.063,1.0237,-0.332,0.2552,-0.5872
birA,0.3681,0.3575,0.0106,-0.6946,0.8652,-1.5598
blr,-0.9653,0.1434,-1.1087,0.6945,0.2037,0.4908
bolA,1.2477,0.9319,0.3158,0.6945,0.6891,0.0054
brnQ,-0.1852,-0.8077,0.6225,-0.6634,-0.5814,-0.082
brxC,-0.154,-0.6303,0.4763,-0.231,-0.6562,0.4252
brxL,-1.1061,0.1434,-1.2495,-0.2786,-0.4799,0.2013
bsmA,0.6197,0.8804,-0.2607,-1.6275,0.6891,-2.3166
bssR,3.1222,0.8804,2.2418,-1.2649,0.3598,-1.6247
bssS,-0.3074,-1.3187,1.0113,-0.4929,-1.6773,1.1844
btsR,-0.9653,0.8804,-1.8457,-0.0425,2.274,-2.3165
btsT,-0.2734,0.5304,-0.8038,1.5425,0.3598,1.1827
btuB,-0.5587,-0.528,-0.0307,-0.7795,-0.2486,-0.5309
btuC,0.4132,-0.3041,0.7173,0.4429,2.1892,-1.7463
btuD,-2.8398,-3.316,0.4762,-0.0425,0.3147,-0.3572
btuF,-0.6027,-2.6639,2.0612,0.6096,0.5662,0.0434
cadA,0.0124,0.2125,-0.2001,-0.5309,-0.4333,-0.0976
cadB,-0.6604,0.0008,-0.6612,-0.9084,-1.4824,0.574
cadC,0.0775,-2.1442,2.2217,-0.2008,-1.8459,1.6451
caiA,2.2046,3.6028,-1.3982,-0.0425,1.0517,-1.0942
caiC,1.1051,-2.1785,3.2836,-2.3644,0.8452,-3.2096
caiD,0.6197,1.7284,-1.1087,-0.0425,-0.5333,0.4908
caiE,0.1343,-0.342,0.4763,-0.0425,-0.5333,0.4908
caiF,0.1343,1.4235,-1.2892,-0.203,-0.2577,0.0547
caiT,0.6197,1.7284,-1.1087,-1.6275,-2.1183,0.4908
can,0.0432,-0.7114,0.7546,0.0202,0.2786,-0.2584
carA,-2.5502,0.4329,-2.9831,-0.0425,0.2037,-0.2462
carB,-0.8543,-1.041,0.1867,1.7418,1.5062,0.2356
cas1e,-0.9653,0.1434,-1.1087,-0.7795,-0.0479,-0.7316
cas2e,-2.1877,-2.6639,0.4762,-3.2124,-3.7032,0.4908
cas5e,3.7896,3.6028,0.1868,1.5425,2.6366,-1.0941
cas6e,-0.1173,-0.5936,0.4763,-1.6275,-0.5333,-1.0942
cas7e,0.6197,0.1434,0.4763,-2.3644,-0.0479,-2.3165
casA,-0.9653,0.8804,-1.8457,2.2794,2.6366,-0.3572
casB,-2.8398,-1.7311,-1.1087,-2.3644,-2.8552,0.4908
cbdX,2.2046,0.1434,2.0612,-0.3835,-3.1963,2.8128
cbiB,-0.6027,-1.079,0.4763,-0.5279,0.1188,-0.6467
cbiD,1.3566,0.8804,0.4762,-0.7795,-0.0479,-0.7316
cbiG,2.4941,0.1434,2.3507,2.2794,1.0517,1.2277
cbiK,-1.7022,-2.1785,0.4763,-0.0425,-0.5333,0.4908
cbiM,-0.6027,-1.079,0.4763,-0.0425,2.4053,-2.4478
cbpA,0.4204,0.1434,0.277,0.934,0.2939,0.6401
cbpM,0.3681,-0.8,1.1681,0.9144,-0.0972,1.0116
ccdA,-0.9653,0.1434,-1.1087,-1.6275,-0.5333,-1.0942
ccdB,-0.2283,-1.4416,1.2133,-1.6275,0.6891,-2.3166
ccmA,1.7572,-0.5936,2.3508,-0.7795,-2.8552,2.0757
ccmB,1.3566,0.1434,1.2132,1.5425,3.1671,-1.6246
ccmD,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
ccmE,-0.1173,-2.1785,2.0612,-0.7795,-2.8552,2.0757
cdaR,0.1343,-0.342,0.4763,0.6945,-0.0028,0.6973
cdd,-0.0408,0.0206,-0.0614,0.8141,0.2796,0.5345
cdsA,0.7948,0.6155,0.1793,0.3641,-0.2871,0.6512
cdsH,1.8998,-0.342,2.2418,0.6096,1.6135,-1.0039
cecR,-2.8398,0.1434,-2.9832,0.1019,0.173,-0.0711
cedA,1.4082,1.3278,0.0804,0.6945,3.2393,-2.5448
cfa,0.2786,1.8879,-1.6093,0.2584,0.9204,-0.662
cgtA,0.1754,-1.7081,1.8835,-0.1932,-1.3024,1.1092
chaA,0.3302,-1.7311,2.0613,0.6096,-0.5333,1.1429
chaB,0.6197,2.9508,-2.3311,0.6945,0.2037,0.4908
chbA,0.6197,0.1434,0.4763,2.2794,2.274,0.0054
chbB,-0.2283,0.1434,-0.3717,-0.573,-1.9118,1.3388
chbC,-1.7022,-2.1785,0.4763,-0.0425,-1.0187,0.9762
chbG,2.2046,0.1434,2.0612,1.5425,1.0517,0.4908
chbR,0.6197,1.7284,-1.1087,-2.3644,-1.2703,-1.0941
cheA,2.343,-3.2626,5.6056,0.1019,-3.5011,3.603
cheB,2.876,-3.0265,5.9025,0.1858,-5.6626,5.8484
cheR,1.9636,-0.3871,2.3507,0.8682,-3.5922,4.4604
cheW,3.5583,-0.2192,3.7775,0.7042,-3.246,3.9502
cheY,3.0526,0.6288,2.4238,1.8835,-0.0479,1.9314
cheZ,1.5977,-1.7311,3.3288,1.5964,-1.139,2.7354
chiP,-0.1173,-0.5936,0.4763,-2.158,-1.9118,-0.2462
chiQ,2.2046,0.1434,2.0612,-0.0425,0.2037,-0.2462
cho,-0.7847,-1.4416,0.6569,-0.4169,-0.6182,0.2013
cigR,0.9822,2.4653,-1.4831,1.723,2.571,-0.848
cirA,0.6197,2.4653,-1.8456,1.5425,2.6366,-1.0941
citC,-4.0242,-0.1081,-3.9161,0.3936,0.6646,-0.271
citD,1.4677,1.5219,-0.0542,0.8506,1.1829,-0.3323
citE,-0.7243,0.3085,-1.0328,-0.7488,0.5349,-1.2837
citF,0.189,1.9307,-1.7417,0.1069,0.0604,0.0465
citG,0.6197,1.0868,-0.4671,-0.5082,-0.7474,0.2392
citR,-1.7022,1.9089,-3.6111,-0.0425,2.274,-2.3165
citS,2.2046,0.1434,2.0612,-0.0425,-0.5333,0.4908
citT,0.2904,1.4712,-1.1808,-0.3892,-0.1645,-0.2247
citX,0.4601,0.3097,0.1504,0.4159,1.5981,-1.1822
clcA,-0.137,-0.2618,0.1248,0.3126,0.1065,0.2061
clcB,-0.0084,-0.4846,0.4762,-0.3769,-0.262,-0.1149
clpA,-0.04,-0.5587,0.5187,-1.0911,-1.1424,0.0513
clpB,0.1625,1.0227,-0.8602,0.3445,-0.1845,0.529
clpP,-0.3569,-0.5019,0.145,-0.1738,-1.15,0.9762
clpS,0.5086,-1.152,1.6606,0.1019,-0.1374,0.2393
clpX,0.4922,-0.7274,1.2196,0.0482,-0.612,0.6602
cls,0.2786,-1.2972,1.5758,-1.097,-0.4302,-0.6668
clsB,2.2046,0.1434,2.0612,-0.0425,-2.1183,2.0758
cmk,-0.5847,-0.6303,0.0456,-0.0425,0.6412,-0.6837
cmoA,2.2046,2.8064,-0.6018,4.4811,4.6761,-0.195
cmoB,-0.0722,-0.1614,0.0892,-0.0425,-0.3728,0.3303
cmoM,1.501,0.2878,1.2132,0.2623,0.6646,-0.4023
cnoX,0.0892,1.5723,-1.4831,0.6945,0.9073,-0.2128
coaA,-0.4445,-0.1322,-0.3123,-0.5279,0.4319,-0.9598
coaBC,-0.4583,-0.7353,0.277,-0.1227,-0.0703,-0.0524
coaD,-0.4445,0.2637,-0.7082,0.0887,0.0286,0.0601
coaE,0.1343,1.7284,-1.5941,0.6945,0.9406,-0.2461
cobB,1.0558,0.5795,0.4763,1.0486,0.7245,0.3241
cobD,-0.0084,0.9139,-0.9223,-0.2835,0.7205,-1.004
cobO,1.1502,-0.7046,1.8548,0.247,-0.8959,1.1429
cobS,-0.9653,-1.4416,0.4763,-0.4051,-0.0028,-0.4023
cobT,0.9822,0.506,0.4762,0.3201,0.1188,0.2013
cobU,-0.1173,-2.1785,2.0612,-0.0425,1.0517,-1.0942
codB,-0.2734,-0.0976,-0.1758,0.8055,1.8997,-1.0942
cof,0.0892,0.1434,-0.0542,-0.8905,-0.8959,0.0054
comR,0.2786,1.0248,-0.7462,0.5675,1.0517,-0.4842
copA,-0.0324,0.7714,-0.8038,0.7847,0.4432,0.3415
copD,1.9151,-0.1461,2.0612,0.4049,-0.2923,0.6972
corA,-0.0866,-0.5629,0.4763,-0.9994,-0.7197,-0.2797
corC,0.344,0.3747,-0.0307,-0.8249,-1.2047,0.3798
cpdA,0.9167,0.9449,-0.0282,0.2389,-0.0165,0.2554
cpoB,-0.2283,0.4901,-0.7184,0.0424,0.1861,-0.1437
cpsB,0.6197,0.1434,0.4763,-1.6275,-2.1183,0.4908
cpsG,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
cpxA,0.014,0.0585,-0.0445,0.4513,-0.0395,0.4908
cpxP,-1.5086,-4.8132,3.3046,-1.7131,-4.0892,2.3761
cpxR,-1.4507,0.506,-1.9567,0.6945,0.9406,-0.2461
cra,0.5541,0.8414,-0.2873,0.4194,0.2466,0.1728
crcB,2.2046,2.6795,-0.4749,1.6146,1.4942,0.1204
creA,1.1051,1.7284,-0.6233,-0.5279,1.5173,-2.0452
creB,-0.6027,1.7284,-2.3311,1.2376,0.5662,0.6714
creC,-0.2734,-0.0976,-0.1758,3.3267,1.7886,1.5381
creD,-0.1173,-0.5936,0.4763,1.5425,1.7886,-0.2461
crl,-1.7022,-2.1785,0.4763,-0.8656,-2.2495,1.3839
crp,-0.9025,-1.3788,0.4763,-0.3204,-1.1556,0.8352
crr,0.3814,-1.0993,1.4807,-0.0643,0.0022,-0.0665
csdA,-0.6027,-1.816,1.2133,-0.3474,-0.5333,0.1859
csdE,-0.9653,-0.2192,-0.7461,-0.0425,0.8452,-0.8877
csgA,-0.0084,-3.9441,3.9357,3.8644,1.0517,2.8127
csgB,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
csgC,-0.9653,-1.4416,0.4763,1.5425,-0.5333,2.0758
csgD,-0.9653,-1.4416,0.4763,-1.6275,-2.1183,0.4908
csgE,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
csgF,-0.9653,-1.4416,0.4763,-0.0425,1.7886,-1.8311
csgG,-0.9653,0.1434,-1.1087,1.5425,0.2037,1.3388
csiE,0.0722,0.2878,-0.2156,0.2623,-0.0972,0.3595
csiR,-3.0808,-3.557,0.4762,-2.158,-1.4264,-0.7316
cspA,-0.7835,-2.1572,1.3737,-1.0012,-1.9441,0.9429
cspD,0.6197,0.7535,-0.1338,0.599,0.4953,0.1037
cspE,1.1286,-0.1155,1.2441,0.7502,0.6674,0.0828
cspF,-2.1028,-0.8135,-1.2893,-0.4786,-0.5333,0.0547
csrA,0.2327,-0.0762,0.3089,0.2935,0.5694,-0.2759
csrD,0.2378,-0.4249,0.6627,1.4478,0.7468,0.701
cstA,1.4082,1.0763,0.3319,-1.142,0.3147,-1.4567
cueO,0.9607,-1.4416,2.4023,-0.1869,-0.0676,-0.1193
cueP,-0.5647,-2.1785,1.6138,-2.3644,-1.0897,-1.2747
cueR,-0.5178,0.1434,-0.6612,0.8904,0.2552,0.6352
cutA,1.1051,-0.5936,1.6987,-1.2649,0.1188,-1.3837
cutC,0.6066,-3.2522,3.8588,2.2445,-1.1075,3.352
cvpA,1.6838,1.6382,0.0456,0.3881,0.8258,-0.4377
cyaA,-0.3418,-0.1799,-0.1619,-0.2011,-0.41,0.2089
cyaY,0.003,-0.1322,0.1352,-0.8656,-0.5333,-0.3323
cybB,0.6197,-0.5936,1.2133,2.2794,2.274,0.0054
cybC,0.4592,-0.9346,1.3938,0.1019,-0.6938,0.7957
cybH,0.9822,0.7955,0.1867,-0.0425,1.3927,-1.4352
cycA,-2.1877,-1.079,-1.1087,-1.1645,0.0386,-1.2031
cydA,0.3195,0.236,0.0835,0.2814,0.1077,0.1737
cydB,-0.1499,-0.1407,-0.0092,-0.1441,0.2037,-0.3478
cydC,1.2364,-0.063,1.2994,-0.6526,-0.262,-0.3906
cydD,0.3302,-0.2804,0.6106,0.5779,-0.19,0.7679
cydX,0.5086,-0.0879,0.5965,0.488,1.4261,-0.9381
cyoA,-0.6478,-4.294,3.6462,0.6494,-1.0638,1.7132
cyoB,-0.094,-2.4068,2.3128,0.1639,-0.7743,0.9382
cyoE,0.6197,-1.9072,2.5269,0.3445,-1.0638,1.4083
cysA,1.4864,0.1434,1.343,2.5764,3.3458,-0.7694
cysB,-1.9164,-1.9072,-0.0092,1.0119,0.8106,0.2013
cysC,0.7509,-1.927,2.6779,-0.2231,0.1341,-0.3572
cysD,2.9416,0.8804,2.0612,-0.0425,1.5991,-1.6416
cysE,0.7228,0.0324,0.6904,0.1122,-0.3786,0.4908
cysG,1.0067,0.1434,0.8633,1.4523,1.622,-0.1697
cysH,0.9092,-1.4416,2.3508,2.7648,3.7146,-0.9498
cysI,2.8213,1.2809,1.5404,2.7648,4.2216,-1.4568
cysJ,1.5128,1.0365,0.4763,1.095,3.3736,-2.2786
cysK,1.1635,-0.0418,1.2053,1.0513,1.5143,-0.463
cysM,-0.2283,0.1434,-0.3717,2.2794,2.5256,-0.2462
cysN,1.6977,0.6739,1.0238,-0.2835,1.4942,-1.7777
cysP,0.3302,-0.9941,1.3243,-1.6275,3.4363,-5.0638
cysQ,-0.1688,0.1434,-0.3122,-0.0425,0.6242,-0.6667
cysS,-0.3456,0.0713,-0.4169,-0.3557,0.9546,-1.3103
cysT,0.2453,-0.8984,1.1437,1.3981,2.274,-0.8759
cysW,2.2046,0.6288,1.5758,3.8644,4.5111,-0.6467
cysZ,0.6197,2.8064,-2.1867,-0.332,0.3996,-0.7316
cytR,0.0892,0.1434,-0.0542,0.1381,0.514,-0.3759
dacA,-0.0546,-0.1547,0.1001,-0.9754,0.5662,-1.5416
dacB,-0.4922,-0.6373,0.1451,0.4049,-0.0109,0.4158
dacC,0.6197,-0.9561,1.5758,-1.6275,0.3598,-1.9873
dacD,-0.6027,-0.1614,-0.4413,-0.6081,-0.2509,-0.3572
dadX,-3.7726,-4.2489,0.4763,-2.7055,-1.6113,-1.0942
dagF,0.6197,0.1434,0.4763,1.5425,1.0517,0.4908
dagR,0.851,-0.6797,1.5307,-0.0425,0.8203,-0.8628
dam,0.4391,-0.671,1.1101,-0.4663,-0.1649,-0.3014
damX,0.1959,0.2447,-0.0488,-0.5002,-0.8448,0.3446
dapA,0.1625,0.4901,-0.3276,0.4906,0.6646,-0.174
dapB,0.1722,1.7911,-1.6189,0.1888,1.513,-1.3242
dapD,0.07,0.0244,0.0456,0.1775,0.4236,-0.2461
dapE,1.3566,-0.3041,1.6607,-0.3769,0.3901,-0.767
dapF,0.8061,0.3298,0.4763,0.6289,0.2664,0.3625
dauA,-0.1768,0.1434,-0.3202,-0.3737,-0.3269,-0.0468
dbpA,-3.4678,-0.7741,-2.6937,-0.8905,-0.5333,-0.3572
dcd,-0.2471,-0.2872,0.0401,-1.2649,-0.5333,-0.7316
dcp,0.6197,0.2878,0.3319,-0.0425,0.8652,-0.9077
dctA,-2.1877,-0.5485,-1.6392,-0.5279,1.1829,-1.7108
dcuA,-1.2236,-1.8804,0.6568,-0.1262,-1.6387,1.5125
dcuB,0.2745,-0.2017,0.4762,-0.6386,-0.2889,-0.3497
dcuC,-0.0084,0.5795,-0.5879,-0.6705,0.4236,-1.0941
dcuR,0.0892,-0.7497,0.8389,0.3201,0.3598,-0.0397
dcyD,0.6197,-0.342,0.9617,0.4429,-0.5333,0.9762
ddlA,0.551,-0.0734,0.6244,-0.0425,0.3711,-0.4136
deaD,-0.5476,-2.3817,1.8341,-1.1681,-3.2189,2.0508
decR,-0.5178,0.7714,-1.2892,-0.2835,-0.7743,0.4908
dedD,-0.8893,0.0632,-0.9525,0.6541,0.035,0.6191
def,-0.7789,0.84,-1.6189,-0.4333,-0.688,0.2547
degP,0.1343,1.3057,-1.1714,-0.0425,0.1703,-0.2128
degQ,-0.6027,-0.4269,-0.1758,-0.394,-0.3852,-0.0088
degS,-0.0866,-0.2872,0.2006,-0.1535,0.0694,-0.2229
denD,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
deoA,1.0671,0.1434,0.9237,-0.4051,0.8203,-1.2254
deoB,-0.4583,-0.2632,-0.1951,-0.203,-0.7515,0.5485
